nameType,acceptedNameUsage,taxonomicStatus,scientificName,canonicalName,taxonRank
scientific,Apium prostratum subsp. howense P.S.Short,accepted,Apium prostratum subsp. howense P.S.Short,Apium prostratum subsp. howense,Subspecies
phrase name,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631) WA Herbarium,accepted,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631) WA Herbarium,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),Subspecies
autonym,Apium prostratum Vent. subsp. prostratum,accepted,Apium prostratum Vent. subsp. prostratum,Apium prostratum subsp. prostratum,Subspecies
scientific,Apium prostratum var. filiforme (A.Rich.) Kirk,accepted,Apium prostratum var. filiforme (A.Rich.) Kirk,Apium prostratum var. filiforme,Varietas
autonym,Apium prostratum Vent. var. prostratum,accepted,Apium prostratum Vent. var. prostratum,Apium prostratum var. prostratum,Varietas
scientific,Azorella fragosea (F.Muell.) Druce,accepted,Azorella fragosea (F.Muell.) Druce,Azorella fragosea,Species
scientific,Azorella macquariensis Orchard,accepted,Azorella macquariensis Orchard,Azorella macquariensis,Species
scientific,Azorella polaris (Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas,accepted,Azorella polaris (Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas,Azorella polaris,Species
scientific,Azorella selago Hook.f.,accepted,Azorella selago Hook.f.,Azorella selago,Species
scientific,Berula erecta (Huds.) Coville,accepted,Berula erecta (Huds.) Coville,Berula erecta,Species
scientific,Bifora testiculata (L.) Spreng.,accepted,Bifora testiculata (L.) Spreng.,Bifora testiculata,Species
scientific,Brachyscias verecundus J.M.Hart & Henwood,accepted,Brachyscias verecundus J.M.Hart & Henwood,Brachyscias verecundus,Species
scientific,Bupleurum glumaceum Sibth. & Sm.,accepted,Bupleurum glumaceum Sibth. & Sm.,Bupleurum glumaceum,Species
scientific,Bupleurum lancifolium Hornem.,accepted,Bupleurum lancifolium Hornem.,Bupleurum lancifolium,Species
scientific,Bupleurum odontites L.,accepted,Bupleurum odontites L.,Bupleurum odontites,Species
scientific,Bupleurum rotundifolium L.,accepted,Bupleurum rotundifolium L.,Bupleurum rotundifolium,Species
scientific,Bupleurum semicompositum L.,accepted,Bupleurum semicompositum L.,Bupleurum semicompositum,Species
scientific,Capnophyllum africanum (L.) Gaertn.,accepted,Capnophyllum africanum (L.) Gaertn.,Capnophyllum africanum,Species
scientific,Carum carvi L.,accepted,Carum carvi L.,Carum carvi,Species
scientific,Centella asiatica (L.) Urb.,accepted,Centella asiatica (L.) Urb.,Centella asiatica,Species
scientific,Centella cordifolia (Hook.f.) Nannf.,accepted,Centella cordifolia (Hook.f.) Nannf.,Centella cordifolia,Species
scientific,Centella uniflora (Colenso) Nannf.,accepted,Centella uniflora (Colenso) Nannf.,Centella uniflora,Species
scientific,Chlaenosciadium gardneri C.Norman,accepted,Chlaenosciadium gardneri C.Norman,Chlaenosciadium gardneri,Species
scientific,Conium maculatum L.,accepted,Conium maculatum L.,Conium maculatum,Species
scientific,Coriandrum sativum L.,accepted,Coriandrum sativum L.,Coriandrum sativum,Species
scientific,Crithmum maritimum L.,accepted,Crithmum maritimum L.,Crithmum maritimum,Species
scientific,Cryptotaenia canadensis (L.) DC.,accepted,Cryptotaenia canadensis (L.) DC.,Cryptotaenia canadensis,Species
scientific,Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,accepted,Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,Cyclospermum leptophyllum,Species
scientific,Daucus carota L.,accepted,Daucus carota L.,Daucus carota,Species
scientific,"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",accepted,"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",Daucus glochidiatus,Species
scientific,Dichosciadium ranunculaceum (F.Muell.) Domin,accepted,Dichosciadium ranunculaceum (F.Muell.) Domin,Dichosciadium ranunculaceum,Species
autonym,Dichosciadium ranunculaceum (F.Muell.) Domin var. ranunculaceum,accepted,Dichosciadium ranunculaceum (F.Muell.) Domin var. ranunculaceum,Dichosciadium ranunculaceum var. ranunculaceum,Varietas
scientific,Dichosciadium ranunculaceum var. tasmanicum (Hook.f.) Domin,accepted,Dichosciadium ranunculaceum var. tasmanicum (Hook.f.) Domin,Dichosciadium ranunculaceum var. tasmanicum,Varietas
