scientificName,dataResourceName,basisOfRecord,Match
Amaranthus clementii,iNaturalist Australia,HUMAN_OBSERVATION,No
Amaranthus undulatus,iNaturalist Australia,HUMAN_OBSERVATION,No
Arthropodium curvipes,iNaturalist Australia,HUMAN_OBSERVATION,No
Atriplex codonocarpa,iNaturalist Australia,HUMAN_OBSERVATION,No
Atriplex obconica,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Atriplex quinii,iNaturalist Australia,HUMAN_OBSERVATION,No
Atriplex spinibractea,iNaturalist Australia,HUMAN_OBSERVATION,No
Boerhavia repens,iNaturalist Australia,HUMAN_OBSERVATION,No
Bonamia dietrichiana,iNaturalist Australia,HUMAN_OBSERVATION,No
Bonamia longipilosa,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Calandrinia corrigioloides,iNaturalist Australia,HUMAN_OBSERVATION,No
Calandrinia pleiopetala,iNaturalist Australia,HUMAN_OBSERVATION,No
Cassytha aurea,iNaturalist Australia,HUMAN_OBSERVATION,No
Cassytha capillaris,iNaturalist Australia,HUMAN_OBSERVATION,No
Cassytha rufa,iNaturalist Australia,HUMAN_OBSERVATION,No
Chamaescilla versicolor,iNaturalist Australia,HUMAN_OBSERVATION,No
Chenopodium gaudichaudianum,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Chionanthus quadristamineus,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Cryptocarya clarksoniana,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Cryptocarya dorrigoensis,iNaturalist Australia,HUMAN_OBSERVATION,No
Cryptocarya grandis,iNaturalist Australia,HUMAN_OBSERVATION,No
Cryptocarya gregsonii,iNaturalist Australia,HUMAN_OBSERVATION,No
Cuscuta australis,iNaturalist Australia,HUMAN_OBSERVATION,No
Cyphanthera microphylla,iNaturalist Australia,HUMAN_OBSERVATION,No
Didymanthus roei,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera bindoon,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera citrina,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera closterostigma,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera derbyensis,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera echinoblastus,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera geniculata,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera graniticola,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera grievei,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera helodes,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera indumenta,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Drosera leucostigma,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera nivea,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera omissa,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera pycnoblasta,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera radicans,iNaturalist Australia,HUMAN_OBSERVATION,No
Drosera salina,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Drosera zigzagia,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Dysphania valida,iNaturalist Australia,HUMAN_OBSERVATION,No
Enhalus acoroides,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Eremophila acrida,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila battii,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila behriana,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila brevifolia,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila caperata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila citrina,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila enata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila falcata,iNaturalist Australia,HUMAN_OBSERVATION,No
Eremophila foliosissima,iNaturalist Australia,HUMAN_OBSERVATION,No
