species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1989,herb
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1895,herb
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1860,herb
Trachymene dendrothrix Maconochie,Trachymene dendrothrix,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1980,herb
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1908,herb
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1892,herb
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1860,herb
Trachymene inflata Maconochie,Trachymene inflata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1980,herb
Trachymene longipedunculata Maconochie,Trachymene longipedunculata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1980,herb
Trachymene montana A.E.Holland,Trachymene montana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1991,herb
Trachymene pyrophila Rye,Trachymene pyrophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1999,herb
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1908,herb
Trachymene umbratica J.M.Hart,Trachymene umbratica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,2006,herb
Trachymene villosa (F.Muell.) Benth.,Trachymene villosa,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trachymene,Araliaceae,1857,herb
Argophyllum iridescens A.R.Bean & P.I.Forst.,Argophyllum iridescens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Argophyllum,Argophyllaceae,2018,shrub
Argophyllum palumense A.R.Bean & P.I.Forst.,Argophyllum palumense,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Argophyllum,Argophyllaceae,2018,tree
Corokia carpodetoides (F.Muell.) L.S.Sm.,Corokia carpodetoides,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Corokia,Argophyllaceae,1871,shrub
Acanthocarpus humilis A.S.George,Acanthocarpus humilis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthocarpus,Asparagaceae,1986,herb
Acanthocarpus robustus A.S.George,Acanthocarpus robustus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthocarpus,Asparagaceae,1986,herb
Acanthocarpus rupestris A.S.George,Acanthocarpus rupestris,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthocarpus,Asparagaceae,1986,herb
